timestamp,illum
2021-01-19 02:00:00,0.05
2021-01-19 02:00:06,0.06
2021-01-19 02:00:13,0.06
2021-01-19 02:00:19,0.06
2021-01-19 02:00:24,0.05
2021-01-19 02:00:31,0.06
2021-01-19 02:00:39,0.06
2021-01-19 02:00:48,0.05
2021-01-19 02:00:56,0.06
2021-01-19 02:01:04,0.06
2021-01-19 02:01:13,0.06
2021-01-19 02:01:21,0.05
2021-01-19 02:01:27,0.06
2021-01-19 02:01:36,0.06
2021-01-19 02:01:41,0.05
2021-01-19 02:01:51,0.06
2021-01-19 02:01:57,0.05
2021-01-19 02:02:04,0.05
2021-01-19 02:02:10,0.05
2021-01-19 02:02:15,0.05
2021-01-19 02:02:22,0.05
2021-01-19 02:02:30,0.05
2021-01-19 02:02:38,0.05
2021-01-19 02:02:45,0.05
2021-01-19 02:02:50,0.05
2021-01-19 02:02:58,0.05
2021-01-19 02:03:06,0.05
2021-01-19 02:03:14,0.05
2021-01-19 02:03:19,0.05
2021-01-19 02:03:27,0.05
2021-01-19 02:03:35,0.05
2021-01-19 02:03:43,0.05
2021-01-19 02:03:49,0.05
2021-01-19 02:03:58,0.05
2021-01-19 02:04:04,0.05
2021-01-19 02:04:09,0.05
2021-01-19 02:04:18,0.05
2021-01-19 02:04:24,0.05
2021-01-19 02:04:29,0.05
2021-01-19 02:04:36,0.05
2021-01-19 02:04:41,0.05
2021-01-19 02:04:48,0.05
2021-01-19 02:04:54,0.05
2021-01-19 02:04:59,0.05
2021-01-19 02:05:09,0.05
2021-01-19 02:05:14,0.05
2021-01-19 02:05:19,0.05
2021-01-19 02:05:27,0.05
2021-01-19 02:05:35,0.05
2021-01-19 02:05:41,0.05
2021-01-19 02:05:48,0.05
2021-01-19 02:05:55,0.05
2021-01-19 02:06:05,0.05
2021-01-19 02:06:11,0.05
2021-01-19 02:06:18,0.05
2021-01-19 02:06:23,0.05
2021-01-19 02:06:29,0.05
2021-01-19 02:06:38,0.05
2021-01-19 02:06:46,0.05
2021-01-19 02:06:54,0.05
2021-01-19 02:07:00,0.05
2021-01-19 02:07:07,0.05
2021-01-19 02:07:13,0.05
2021-01-19 02:07:19,0.05
2021-01-19 02:07:27,0.05
2021-01-19 02:07:33,0.05
2021-01-19 02:07:40,0.05
2021-01-19 02:07:47,0.05
2021-01-19 02:07:54,0.05
2021-01-19 02:07:59,0.05
2021-01-19 02:08:06,0.05
2021-01-19 02:08:12,0.05
2021-01-19 02:08:17,0.05
2021-01-19 02:08:24,0.05
2021-01-19 02:08:30,0.05
2021-01-19 02:08:36,0.05
2021-01-19 02:08:44,0.05
2021-01-19 02:08:49,0.05
2021-01-19 02:08:54,0.05
2021-01-19 02:09:02,0.05
2021-01-19 02:09:10,0.05
2021-01-19 02:09:18,0.05
2021-01-19 02:09:24,0.05
